Poplar ID,Curve Type,Rate,Time,A,gsw,Ci,PARi
1A,Light,0,0,28.42454145,0.49592899,259.720095,999.896
1A,Light,0,60.5,27.6005754,0.493721636,263.1694068,899.991
1A,Light,0,121,26.32799576,0.486191302,267.4228127,800.242
1A,Light,0,181.5,24.95163825,0.487584118,273.999567,699.833
1A,Light,0,241.9000001,23.19984124,0.495794127,283.4885282,600.175
1A,Light,0,302.5,20.71890156,0.496110268,294.629932,500.028
1A,Light,0,363,17.66394151,0.490122968,307.7994786,400.24
1A,Light,0,423.5,13.62021605,0.503281815,327.3599102,300.022
1A,Light,0,483.9000001,8.92214069,0.505568163,348.4148663,200.23
1A,Light,0,544.5,6.576889255,0.505174378,359.0467593,150.148
1A,Light,0,605,3.847227959,0.507437703,371.2950563,100.041
1A,Light,0,665.5,1.035865354,0.508868187,383.7522334,49.9862
1A,Light,0,725.9000001,-1.755659776,0.5075224,396.1933732,0
2A,Light,0,0,26.51035527,0.437275521,257.2366587,999.822
2A,Light,0,60.4000001,26.02251879,0.445349051,261.379278,900.013
2A,Light,0,120.9000001,25.34008229,0.449469501,265.374298,800.03
2A,Light,0,181.5,24.3012657,0.446936892,269.9285683,699.978
2A,Light,0,242,22.94867454,0.474033827,281.3121665,599.995
2A,Light,0,302.4000001,20.82480866,0.478860828,291.7334775,500.078
2A,Light,0,362.9000001,17.98104474,0.483049214,305.4051819,400.15
2A,Light,0,423.5,14.19629338,0.503112414,324.8887982,300.03
2A,Light,0,484,9.381328021,0.511633557,346.7198374,199.738
2A,Light,0,544.4000001,6.700526486,0.521383129,359.0359063,150.249
2A,Light,0,605,3.841828974,0.525833369,371.6742523,99.8953
2A,Light,0,665.4000001,0.7866361,0.53018874,384.8858756,50.0015
2A,Light,0,732,-2.312981983,0.53654865,398.2384483,0
